loudness;energy;acousticness
-9,532;0,389;0,236
-6,945;0,507;0,221
-9,258;0,437;0,88
-15,305;0,0643;0,927
-4,951;0,903;6,08e-5
-9,7;0,58;0,00872
-5,49;0,596;0,0262
-5,269;0,937;0,00214
-9,941;0,485;0,3
-8,824;0,797;0,00328
-7,448;0,843;0,00429
-7,327;0,927;0,000273
-7,22;0,635;0,766
-7,981;0,638;0,0245
-7,783;0,738;0,295
-10,18;0,466;0,556
-5,475;0,63;0,52
-4,236;0,948;0,00226
-9,05;0,58;0,117
-5,627;0,788;0,0311
-7,868;0,757;0,103
-4,547;0,67;0,0108
-6,163;0,684;0,117
-14,148;0,634;0,207
-6,9;0,525;0,44
-8,763;0,318;0,995
-8,078;0,506;0,14
-10,531;0,707;0,0216
-11,248;0,452;0,867
-6,027;0,961;1,88e-6
-4,271;0,775;0,00291
-10,494;0,355;0,985
-6,047;0,828;0,0276
-3,618;0,82;0,026
-9,06;0,71;0,000981
-5,086;0,833;0,0272
-6,918;0,822;8,8e-6
-11,248;0,536;0,179
-6,517;0,389;0,687
-13,955;0,297;0,664
-9,43;0,7;0,522
-7,571;0,829;0,0852
-6,069;0,875;0,00752
-6,123;0,863;0,00495
-11,929;0,436;0,667
-4,198;0,977;4,99e-6
-7,09;0,724;0,00451
-3,851;0,905;0,000197
-10,14;0,608;0,235
-9,163;0,77;0,12
-2,522;0,986;0,000264
-7,773;0,34;0,218
-4,689;0,631;0,305
-5,933;0,876;0,00103
-10,286;0,573;0,939
-6,207;0,627;0,436
-10,434;0,703;0,397
-13,952;0,565;0,0617
-7,163;0,709;0,118
-9,685;0,277;0,919
-4,77;0,74;0,0622
-5,676;0,884;0,00354
-9,367;0,28;0,468
-9,361;0,739;0,00299
-4,387;0,946;0,000105
-8,269;0,686;0,597
-5,59;0,586;0,147
-8,639;0,724;0,000273
-6,472;0,528;0,112
-15,726;0,125;0,951
-5,097;0,602;0,0313
-15,076;0,486;0,149
-7,784;0,893;0,00839
-10,888;0,37;0,205
-4,046;0,905;0,000202
-8,296;0,53;0,787
-6,725;0,911;0,000367
-8,43;0,907;0,000229
-13,606;0,353;0,827
-6,194;0,878;0,00811
-7,666;0,785;0,00802
-9,965;0,663;0,29
-7,668;0,933;0,000101
-5,724;0,801;0,000164
-4,045;0,931;2,16e-5
-6,108;0,783;0,000689
-8,22;0,686;0,0236
-8,215;0,982;0,0014
-4,941;0,675;0,000348
-8,708;0,871;0,0229
-7,519;0,775;0,305
-7,999;0,734;0,00186
-4,88;0,785;0,0186
-10,283;0,605;0,599
-8,967;0,849;0,00107
-6,546;0,895;1,47e-5
-5,782;0,924;0,000173
-4,569;0,984;2,98e-5
-9,175;0,86;0,00253
-12,211;0,187;0,812
-7,988;0,694;0,308
-6,888;0,791;0,356
-4,647;0,931;0,0296
-7,327;0,927;0,000273
-7,67;0,746;0,0343
-13,641;0,186;0,983
-14,466;0,44;0,202
-14,523;0,166;0,877
-13,259;0,372;0,759
-8,215;0,982;0,0014
-10,744;0,218;0,46
-7,246;0,755;0,0966
-7,795;0,587;0,36
-8,787;0,53;0,668
-3,501;0,939;0,00247
-6,606;0,812;0,0253
-13,072;0,343;0,0601
-8,192;0,692;0,00742
-3,626;0,964;0,000495
-9,693;0,547;0,315
-9,147;0,63;0,0905
-3,866;0,958;0,00867
-8,579;0,523;0,772
-6,784;0,83;0,388
-5,693;0,978;0,00448
-6,307;0,944;0,000127
-13,325;0,0171;0,958
-12,329;0,52;0,26
-8,969;0,462;0,513
-10,146;0,724;7,52e-5
-8,083;0,646;0,691
-7,255;0,622;0,365
-5,284;0,66;0,362
-5,267;0,726;0,476
-9,701;0,908;0,00437
-7,71;0,643;0,259
-12,207;0,062;0,995
-9,313;0,552;0,689
-6,883;0,732;0,00194
-5,912;0,846;0,0123
-13,993;0,201;0,913
-5,838;0,921;0,000959
-9,232;0,535;0,000379
-5,599;0,835;0,000683
-5,244;0,903;0,000103
-4,115;0,726;0,348
-7,109;0,71;0,0286
-8,191;0,747;0,0111
-1,945;0,973;0,0037
-9,67;0,907;0,000277
-9,159;0,808;0,0766
-3,431;0,994;7,03e-5
-2,448;0,984;0,000209
-5,509;0,767;0,00287
-6,672;0,747;0,00404
-6,25;0,857;0,0208
-7,442;0,931;0,0776
-4,247;0,746;0,0114
-8,46;0,736;0,00246
-3,812;0,836;0,126
-9,676;0,439;0,248
-4,114;0,899;0,124
-6,897;0,962;0,0007
-7,042;0,533;0,206
-1,917;0,958;8,59e-5
-10,164;0,31;0,945
-7,68;0,809;0,33
-4,29;0,959;8,68e-5
-9,574;0,416;0,184
-8,992;0,478;0,892
-7,966;0,57;0,0647
-12,399;0,508;0,227
-3,895;0,924;0,00214
-10,785;0,479;0,835
-3,341;0,864;0,055
-9,126;0,464;0,799
-5,252;0,464;0,0704
-6,395;0,828;0,0411
-5,618;0,912;0,0247
-4,254;0,857;0,000849
-8,254;0,799;0,0742
-5,693;0,463;0,382
-10,608;0,428;0,065
-9,412;0,746;0,13
-7,182;0,568;0,00131
-2,784;0,706;0,00156
-0,885;0,896;0,00041
-14,201;0,479;0,625
-7,203;0,84;0,00249
-5,762;0,532;0,212
-6,66;0,674;0,0013
-9,995;0,53;0,121
-4,715;0,957;0,000173
-6,473;0,812;0,0666
-8,514;0,712;0,611
-10,39;0,616;0,0399
-5,926;0,74;0,0164
-5,391;0,992;3,45e-5
-5,712;0,591;0,0454
-11,633;0,236;0,803
-4,152;0,941;0,00287
-8,6;0,356;0,927
-6,128;0,835;0,00225
-6,578;0,613;0,00229
-8,708;0,648;0,0735
-9,453;0,43;0,316
-6,073;0,722;0,0162
-5,466;0,814;0,00115
-8,112;0,717;0,143
-13,126;0,671;0,0206
-11,766;0,62;0,0335
-7,01;0,695;0,0107
-12,682;0,594;0,563
-5,051;0,809;0,00188
-4,261;0,935;0,0361
-2,843;0,757;0,112
-6,664;0,901;0,00954
-6,37;0,792;7,0e-5
-5,387;0,591;0,179
-8,573;0,852;0,0241
-10,853;0,571;0,629
-6,112;0,969;0,0113
-6,246;0,702;0,156
-10,237;0,79;0,0781
-6,08;0,686;0,0978
-12,503;0,293;0,486
-12,068;0,465;0,361
-5,973;0,774;0,0586
-6,953;0,922;4,84e-6
-9,373;0,67;0,0666
-8,189;0,545;0,000217
-8,888;0,934;3,52e-5
-3,592;0,914;0,0602
-13,827;0,1;0,96
-5,692;0,817;0,0569
-4,507;0,891;1,33e-5
-9,49;0,762;0,488
-5,416;0,697;0,00289
-3,675;0,626;0,335
-6,073;0,722;0,0162
-8,967;0,687;0,0522
-1,858;0,99;3,38e-5
-9,15;0,375;0,8
-4,938;0,739;0,00913
-9,295;0,453;0,816
-6,225;0,608;0,239
-3,539;0,953;0,0771
-13,65;0,534;0,0891
-4,487;0,836;0,132
-4,818;0,729;0,0152
-4,287;0,851;0,00078
-1,854;0,843;0,168
-15,163;0,0863;0,962
-7,537;0,777;0,000987
-9,472;0,458;0,766
-5,941;0,773;0,013
-4,205;0,855;0,00673
-4,722;0,866;1,42e-6
-8,612;0,706;0,116
-3,912;0,982;5,85e-5
-9,66;0,451;0,75
-8,287;0,601;0,0353
-7,921;0,809;0,194
-6,772;0,444;0,00442
-3,951;0,948;4,36e-5
-5,635;0,875;0,00733
-8,412;0,774;0,00425
-3,924;0,944;5,25e-5
-11,058;0,252;0,988
-8,995;0,962;0,119
-10,673;0,27;0,937
-11,166;0,536;0,488
-4,666;0,867;0,0108
-5,041;0,937;1,5e-5
-6,938;0,576;0,207
-3,842;0,759;0,000123
-10,432;0,683;0,148
-5,754;0,649;0,429
-6,113;0,788;0,00035
-7,085;0,653;0,42
-4,892;0,849;0,548
-3,843;0,965;0,00101
-6,294;0,543;0,011
-11,3;0,354;0,29
-9,038;0,447;0,598
-6,359;0,443;0,462
-3,321;0,898;0,000219
-5,151;0,887;0,0188
-11,839;0,437;0,896
-9,128;0,516;0,99
-8,986;0,5;0,644
-6,215;0,71;0,000411
-3,213;0,831;0,126
-5,694;0,903;0,0678
-4,9;0,938;5,18e-5
-9,381;0,316;0,51
-8,82;0,608;0,593
-7,293;0,599;0,479
-5,424;0,665;0,0244
-5,288;0,923;3,47e-5
-5,356;0,645;0,112
-4,02;0,88;0,00202
-8,292;0,451;0,425
-10,778;0,816;0,0368
-13,065;0,326;0,0405
-6,972;0,815;0,0188
-7,3;0,722;0,0571
-10,397;0,592;0,0995
-5,214;0,871;0,0339
-6,504;0,783;0,3
-7,147;0,775;0,194
-6,826;0,584;0,555
-6,855;0,758;0,00505
-2,993;0,95;0,00449
-11,148;0,359;0,611
-7,963;0,576;0,00112
-3,64;0,713;0,000307
-7,845;0,523;0,268
-8,671;0,777;0,0109
-12,034;0,515;0,239
-10,854;0,893;0,353
-4,335;0,965;0,000612
-6,886;0,742;0,0488
-9,189;0,547;0,853
-4,538;0,867;4,93e-5
-13,62;0,448;0,0383
-8,166;0,464;0,681
-4,283;0,86;0,0497
-8,079;0,683;0,303
-5,525;0,736;0,0664
-12,52;0,35;0,273
-8,925;0,552;0,0574
-10,184;0,751;0,0681
-7,797;0,669;0,122
-14,918;0,434;0,0783
-8,26;0,754;0,0434
-6,049;0,723;0,0232
-8,02;0,607;0,104
-5,421;0,98;3,72e-5
-4,636;0,923;2,91e-5
-7,078;0,798;0,00033
-3,052;0,85;0,0304
-4,296;0,885;0,00258
-9,38;0,982;3,64e-5
-5,666;0,926;3,23e-6
-7,343;0,613;0,318
-7,135;0,67;0,0509
-7,25;0,731;0,128
-11,24;0,634;0,0568
-7,062;0,807;0,034
-10,94;0,442;0,748
-5,827;0,669;0,229
-2,93;0,95;0,000172
-5,689;0,81;0,00579
-6,454;0,764;0,00325
-5,535;0,622;0,0927
-8,375;0,473;0,242
-10,415;0,616;0,0179
-11,949;0,393;0,965
-3,624;0,972;0,000904
-11,035;0,382;0,826
-5,885;0,928;8,57e-6
-3,867;0,853;0,335
-8,556;0,657;0,0833
-3,979;0,982;0,00306
-5,526;0,734;0,0324
-4,807;0,888;0,013
-7,34;0,564;0,0496
-8,515;0,648;0,386
-3,354;0,906;0,00101
-6,788;0,916;0,000975
-3,88;0,902;0,577
-4,125;0,487;0,849
-7,537;0,772;0,0516
-8,137;0,573;0,00305
-10,117;0,743;0,0511
-9,743;0,666;0,229
-5,349;0,891;0,000316
-5,541;0,881;5,99e-5
-7,486;0,844;0,311
-6,253;0,623;0,247
-5,776;0,752;0,209
-4,924;0,931;6,05e-5
-8,368;0,637;0,497
-4,165;0,614;0,00391
-6,309;0,761;0,000288
-7,832;0,824;0,0641
-8,977;0,667;0,00204
-6,13;0,912;0,551
-11,673;0,455;0,803
-5,692;0,94;0,000486
-6,174;0,844;0,533
-11,746;0,521;0,0704
-5,361;0,926;0,0355
-13,76;0,569;0,549
-6,185;0,777;4,78e-5
-5,691;0,826;0,134
-9,57;0,697;0,778
-7,127;0,686;0,00333
-4,019;0,908;0,00184
-9,348;0,396;0,0841
-6,473;0,812;0,0666
-7,833;0,682;0,178
-11,024;0,647;0,0102
-14,977;0,191;0,522
-7,988;0,809;0,769
-13,404;0,471;0,0069
-11,491;0,458;0,0813
-4,652;0,681;0,118
-7,135;0,502;0,255
-5,436;0,796;0,000541
-6,602;0,958;5,33e-6
-8,821;0,663;0,000409
-6,976;0,614;0,0309
-8,478;0,804;0,00635
-10,65;0,83;0,00188
-4,157;0,925;0,0106
-8,483;0,479;0,585
-5,09;0,878;0,0154
-4,736;0,49;0,768
-6,929;0,804;0,00706
-5,817;0,555;0,00337
-7,673;0,399;0,968
-4,111;0,973;0,0156
-3,071;0,984;0,00471
-8,927;0,759;0,0066
-10,005;0,515;0,682
-9,997;0,768;0,121
-6,297;0,904;0,00629
-11,742;0,72;0,203
-15,718;0,212;0,807
-5,752;0,852;0,0418
-11,052;0,413;0,671
-7,703;0,548;0,288
-5,877;0,872;5,28e-5
-2,497;0,919;0,00315
-9,305;0,546;0,547
-7,594;0,736;0,112
-11,215;0,562;0,00918
-4,671;0,894;0,00158
-3,314;0,886;0,00929
-7,119;0,943;2,38e-5
-7,117;0,696;0,00576
-8,17;0,66;0,149
-4,621;0,683;0,111
-11,192;0,656;0,0142
-7,003;0,691;0,0149
-10,454;0,247;0,943
-7,242;0,707;0,0673
-7,383;0,623;0,0965
-7,64;0,755;0,0572
-13,084;0,525;0,621
-10,17;0,481;0,034
-7,116;0,808;0,00623
-11,33;0,338;0,953
-3,245;0,965;0,000706
-2,738;0,996;4,34e-6
-11,287;0,626;0,0931
-8,669;0,597;0,521
-8,199;0,762;0,189
-7,085;0,573;0,208
-4,276;0,954;0,000395
-7,638;0,648;0,712
-3,822;0,902;0,0198
-6,253;0,877;0,00104
-9,119;0,464;0,448
-10,671;0,783;0,0125
-3,861;0,975;2,58e-5
-5,737;0,643;0,137
-6,927;0,837;7,8e-5
-7,078;0,798;0,00033
-3,211;0,974;2,61e-5
-6,242;0,515;0,0176
-13,53;0,219;0,929
-7,46;0,669;0,0459
-11,287;0,626;0,0931
-7,449;0,852;0,00533
-10,119;0,799;0,0668
-4,341;0,878;0,000471
-13,564;0,465;0,11
-7,971;0,615;0,0516
-10,547;0,31;0,813
-8,877;0,389;0,491
-7,634;0,281;0,388
-15,763;0,176;0,751
-4,92;0,728;0,000242
-7,67;0,673;0,00344
-5,217;0,923;0,0265
-5,55;0,684;0,308
-3,173;0,903;0,00327
-11,879;0,791;0,257
-10,503;0,552;8,02e-5
-3,877;0,997;0,0174
-5,046;0,819;0,528
-15,639;0,449;0,0393
-6,496;0,743;0,102
-6,522;0,735;0,0252
-10,95;0,488;0,75
-7,759;0,85;0,000406
-6,321;0,686;0,0669
-7,336;0,453;0,579
-9,199;0,472;0,138
-6,504;0,876;0,0192
-3,299;0,989;0,0163
-5,883;0,842;0,00242
-12,996;0,52;0,889
-2,544;0,968;2,93e-5
-3,875;0,754;0,195
-8,306;0,646;0,331
-10,009;0,461;0,0339
-15,902;0,22;0,994
-4,676;0,916;0,0282
-11,41;0,216;0,955
-5,502;0,735;0,000879
-8,924;0,679;0,00531
-4,671;0,963;0,00128
-5,965;0,821;5,52e-5
-7,656;0,695;0,195
-9,152;0,913;0,00015
-4,749;0,395;0,113
-6,6;0,879;0,0228
-10,654;0,153;0,882
-3,886;0,804;0,0857
-6,679;0,705;0,00836
-5,986;0,645;0,0131
-5,297;0,696;0,479
-13,478;0,14;0,916
-8,033;0,528;0,613
-5,809;0,725;0,000209
-8,856;0,455;0,403
-1,721;0,967;2,43e-5
-2,684;0,97;1,23e-5
-5,917;0,973;0,000718
-5,589;0,798;0,136
-6,711;0,825;0,000785
-4,483;0,943;1,46e-5
-7,833;0,73;0,133
-12,199;0,342;0,824
-10,802;0,86;0,189
-6,291;0,767;0,0726
-10,814;0,757;0,00182
-14,17;0,434;0,639
-7,491;0,561;0,824
-7,879;0,868;0,0136
-4,585;0,976;0,148
-4,798;0,76;0,00245
-8,159;0,704;0,658
-8,768;0,498;0,0184
-5,156;0,926;0,386
-10,208;0,245;0,929
-4,192;0,979;0,0126
-5,603;0,832;0,0146
-5,13;0,716;0,625
-5,343;0,825;0,000559
-6,243;0,721;0,193
-2,652;0,947;0,00115
-14,15;0,576;0,354
-4,367;0,949;0,000324
-4,374;0,841;0,144
-9,152;0,792;0,00119
-6,0;0,484;0,835
-6,086;0,79;0,0666
-10,068;0,932;0,013
-8,002;0,558;0,814
-14,475;0,329;0,769
-11,872;0,635;0,322
-2,287;0,946;0,000108
-7,147;0,46;0,738
-7,253;0,728;0,0848
-3,348;0,883;0,0891
-7,038;0,889;0,00878
-8,279;0,693;0,0698
-7,214;0,698;0,00026
-9,178;0,731;0,0812
-5,284;0,962;0,00229
-5,028;0,894;0,826
-10,49;0,215;0,958
-3,055;0,917;0,000446
-15,049;0,11;0,89
-6,778;0,582;0,119
-4,371;0,933;0,000221
-6,944;0,782;0,000711
-11,343;0,833;0,00151
-14,403;0,111;0,979
-9,021;0,547;0,43
-3,325;0,94;0,000727
-3,935;0,726;0,0286
-4,818;0,973;0,000457
-6,192;0,741;4,52e-5
-4,941;0,863;0,00148
-7,031;0,833;5,15e-5
-10,153;0,744;0,00143
-4,579;0,926;0,0361
-1,574;0,942;0,00302
-4,17;0,811;0,00132
-7,491;0,852;0,000105
-9,745;0,456;0,804
-13,805;0,111;0,931
-13,832;0,507;0,382
-4,235;0,867;0,0256
-6,766;0,577;0,104
-8,017;0,617;0,111
-8,211;0,497;0,559
-3,113;0,837;0,00107
-3,978;0,937;6,12e-5
-8,036;0,43;0,698
-12,308;0,552;0,587
-4,842;0,922;0,116
-12,878;0,647;0,108
-5,466;0,858;0,000133
-15,504;0,392;0,446
-7,495;0,684;0,374
-8,656;0,716;0,000285
-11,535;0,818;0,0686
-7,434;0,822;0,00861
-4,967;0,783;0,000825
-12,094;0,395;0,451
-4,996;0,946;0,0188
-7,68;0,488;0,284
-7,143;0,511;0,168
-4,86;0,85;0,000861
-5,991;0,768;0,0119
-3,139;0,962;1,66e-5
-4,275;0,756;3,24e-5
-6,153;0,806;0,0586
-4,957;0,931;0,0182
-11,734;0,289;0,804
-3,915;0,815;0,0476
-8,815;0,707;0,147
-6,733;0,624;0,0301
-8,755;0,693;0,579
-7,052;0,471;0,00455
-8,788;0,442;0,0849
-10,356;0,424;0,767
-6,566;0,778;0,00118
-9,068;0,663;0,0945
-11,766;0,664;0,0196
-8,371;0,741;0,0161
-8,334;0,779;0,00574
-7,627;0,797;0,00543
-5,039;0,822;0,0757
-7,029;0,462;0,582
-4,041;0,662;0,00322
-5,552;0,658;0,0103
-3,798;0,875;0,000153
-5,612;0,95;1,97e-5
-14,171;0,578;0,0598
-14,738;0,291;0,259
-3,14;0,948;0,00655
-7,256;0,815;0,00242
-8,394;0,882;0,0001
-10,746;0,82;0,0383
-11,959;0,311;0,93
-9,549;0,545;0,0289
-7,536;0,796;0,352
-14,936;0,48;0,0107
-8,031;0,572;0,0168
-8,188;0,404;0,458
-6,149;0,893;0,0609
-6,041;0,958;2,29e-5
-14,884;0,331;0,31
-7,496;0,598;0,146
-8,193;0,674;0,139
-4,654;0,918;2,89e-6
-14,677;0,331;0,256
-10,33;0,215;0,907
-7,844;0,511;0,167
-7,876;0,631;0,875
-3,632;0,953;0,000719
-4,863;0,878;0,00935
-6,782;0,716;0,169
-4,831;0,782;0,00495
-7,747;0,707;0,0813
-10,029;0,297;0,527
-9,677;0,772;0,0312
-12,44;0,454;0,796
-7,383;0,739;0,00392
-6,674;0,953;0,000594
-5,11;0,887;6,64e-5
-7,644;0,909;0,000109
-9,046;0,506;0,687
-5,193;0,948;0,00982
-7,293;0,661;0,000415
-3,857;0,824;3,43e-5
-8,913;0,545;0,456
-12,264;0,263;0,717
-12,242;0,494;0,106
-2,135;0,599;0,0665
-7,535;0,534;0,699
-10,043;0,816;0,000162
-13,84;0,851;0,00403
-4,81;0,777;0,0261
-5,191;0,972;3,61e-5
-6,004;0,793;0,134
-6,195;0,72;0,0893
-4,09;0,869;0,00164
-9,31;0,737;0,0769
-7,219;0,942;5,17e-5
-4,93;0,854;0,000296
-8,298;0,779;1,36e-5
-11,052;0,295;0,849
-11,89;0,541;0,466
-8,367;0,724;0,313
-2,261;0,974;0,103
-8,325;0,575;0,0861
-13,333;0,283;0,961
-9,7;0,627;0,00132
-7,948;0,575;0,193
-8,518;0,377;0,677
-9,293;0,878;0,0179
-11,318;0,343;0,612
-11,397;0,249;0,904
-8,136;0,637;0,385
-4,612;0,905;2,92e-5
-3,47;0,851;0,00881
-4,444;0,849;0,00701
-3,521;0,949;0,000103
-5,465;0,744;0,0327
-11,316;0,923;0,000225
-8,804;0,41;0,243
-5,368;0,896;0,00024
-13,034;0,513;0,0208
-9,315;0,694;0,00161
-9,951;0,44;0,0663
-3,327;0,823;0,00078
-9,168;0,367;0,792
-8,89;0,668;0,000604
-6,682;0,66;0,00779
-4,404;0,888;0,00116
-7,501;0,718;0,00569
-10,398;0,378;0,77
-7,067;0,857;0,0003
-12,304;0,522;0,821
-9,532;0,389;0,236
-6,649;0,675;0,013
-14,043;0,545;0,586
-11,551;0,247;0,812
-4,445;0,678;0,252
-3,881;0,912;0,0014
-4,478;0,907;0,000111
-12,739;0,696;0,0155
-10,084;0,511;0,392
-2,119;0,988;0,00853
-4,195;0,9;1,64e-5
-5,69;0,73;0,219
-4,115;0,95;0,0115
-8,907;0,377;0,899
-6,236;0,921;0,00573
-9,348;0,541;0,0494
-5,982;0,834;0,56
-2,553;0,872;0,0495
-9,171;0,532;0,191
-7,227;0,661;0,00239
-9,527;0,547;0,00338
-12,798;0,0757;0,987
-9,43;0,565;0,0716
-7,637;0,836;1,77e-5
-3,722;0,788;0,488
-6,405;0,72;0,265
-7,372;0,66;0,312
-7,811;0,721;0,0212
-7,358;0,575;0,105
-3,348;0,855;0,0223
-5,623;0,948;0,00749
-4,313;0,884;0,000133
-9,954;0,676;0,515
-4,243;0,994;1,47e-5
-8,073;0,573;0,0208
-9,56;0,382;0,567
-6,237;0,758;0,0459
-8,532;0,537;0,695
-2,285;0,971;0,0185
-7,813;0,675;0,00313
-5,673;0,92;0,00143
-5,116;0,695;0,372
-12,158;0,328;0,296
-6,733;0,624;0,0301
-4,518;0,975;0,000416
-3,94;0,973;2,85e-5
-6,628;0,741;0,328
-8,511;0,757;4,18e-5
-5,656;0,82;0,01
-6,456;0,981;0,000148
-9,589;0,296;0,819
-8,72;0,744;0,131
-8,745;0,578;0,0114
-10,233;0,461;0,694
-7,64;0,736;0,0135
-5,393;0,755;0,331
-3,318;0,843;0,000671
-11,182;0,292;0,643
-13,88;0,816;0,119
-5,648;0,847;0,000277
-4,402;0,932;0,00193
-4,581;0,875;2,32e-5
-4,772;0,904;0,00167
-6,24;0,806;0,000986
-5,465;0,804;6,97e-5
-4,439;0,852;0,000697
-5,52;0,956;0,0598
-11,431;0,249;0,926
-3,959;0,948;0,0113
-11,563;0,268;0,806
-11,313;0,588;0,507
-8,838;0,964;0,000735
-5,121;0,811;0,000839
-6,486;0,869;1,75e-5
-7,712;0,548;0,53
-8,722;0,438;0,122
-9,418;0,551;0,452
-2,763;0,969;0,204
-15,648;0,686;0,209
-10,057;0,433;0,388
-4,708;0,787;2,07e-5
-7,931;0,883;0,00185
-8,229;0,892;0,00152
-7,34;0,583;0,32
-3,682;0,975;0,000109
-4,06;0,811;7,61e-5
-7,014;0,434;0,283
-4,208;0,978;0,000519
-3,713;0,803;0,0709
-7,031;0,675;0,0988
-5,335;0,999;3,85e-6
-10,609;0,65;0,0668
-9,637;0,915;0,319
-10,072;0,848;0,0273
-7,592;0,582;0,0584
-9,492;0,642;0,0185
-6,912;0,941;0,136
-4,281;0,936;0,000626
-9,096;0,843;0,00125
-2,552;0,944;9,04e-6
-3,771;0,651;0,117
-4,577;0,673;0,256
-13,077;0,573;0,382
-13,777;0,253;0,812
-5,08;0,909;0,0168
-7,828;0,423;0,565
-9,263;0,409;0,13
-4,657;0,825;0,00525
-6,667;0,84;5,05e-5
-12,115;0,292;0,947
-5,037;0,82;0,0711
-9,127;0,591;0,0138
-5,373;0,853;0,132
-3,905;0,721;0,0002
-7,679;0,665;0,118
-6,003;0,898;0,00854
-12,683;0,459;0,0232
-5,146;0,857;0,000261
-8,647;0,836;0,0685
-7,955;0,576;0,376
-4,574;0,734;0,0329
-5,3;0,94;7,17e-5
-3,908;0,934;0,000278
-14,361;0,127;0,754
-7,954;0,427;0,00414
-3,542;0,991;2,12e-5
-6,688;0,591;0,289
-13,18;0,598;0,221
-8,347;0,735;0,00401
-9,525;0,491;0,435
-6,951;0,666;0,00784
-8,173;0,794;0,197
-7,047;0,866;0,113
-3,075;0,811;0,0175
-12,101;0,277;0,89
-11,479;0,241;0,987
-14,252;0,442;0,29
-8,338;0,827;0,22
-3,669;0,99;0,00232
-7,225;0,827;0,0412
-4,196;0,989;1,45e-5
-3,906;0,906;0,156
-4,53;0,595;0,199
-4,419;0,834;0,00025
-8,938;0,582;0,715
-5,135;0,852;0,000975
-3,002;0,764;0,0382
-9,924;0,589;0,409
-8,935;0,585;0,499
-12,683;0,529;0,914
-11,763;0,413;0,102
-10,422;0,572;0,395
-7,167;0,459;0,63
-5,636;0,978;0,0257
-7,237;0,811;0,00268
-4,844;0,934;7,39e-5
-3,435;0,906;0,00931
-4,567;0,903;3,5e-5
-13,577;0,396;0,817
-6,005;0,846;0,0364
-7,574;0,755;0,00411
-13,319;0,167;0,836
-4,106;0,973;0,00188
-3,823;0,84;0,0457
-9,446;0,816;0,000232
-6,249;0,491;0,154
-7,712;0,706;0,259
-9,943;0,596;0,0573
-11,137;0,459;0,276
-6,224;0,96;9,36e-5
-5,123;0,973;4,7e-6
-9,271;0,514;0,0492
-8,553;0,558;0,724
-10,46;0,62;0,151
-5,121;0,678;0,000295
-3,676;0,975;0,000217
-7,89;0,863;0,0383
-4,138;0,91;0,000317
-11,117;0,825;0,000298
-6,291;0,693;0,327
-6,033;0,894;9,45e-6
-8,516;0,605;0,115
-5,222;0,827;0,138
-10,254;0,654;0,379
-10,235;0,522;0,421
-10,322;0,486;0,568
-11,019;0,909;0,204
-6,353;0,663;0,31
-6,172;0,918;2,86e-5
-2,654;0,991;0,0373
-8,449;0,467;0,00906
-6,354;0,667;0,0038
-5,235;0,94;6,8e-5
-8,522;0,547;0,504
-11,04;0,675;0,428
-10,727;0,624;0,468
-5,521;0,922;0,0598
-9,573;0,865;0,018
-4,004;0,901;0,00151
-6,002;0,843;0,000839
-13,1;0,264;0,941
-11,546;0,856;6,98e-5
-5,713;0,659;0,027
-5,659;0,858;0,000616
-7,75;0,717;0,000578
-14,026;0,275;0,91
-6,666;0,744;0,00107
-4,17;0,811;0,00132
-6,139;0,893;0,00291
-6,21;0,932;1,93e-5
-6,986;0,42;0,0146
-3,17;0,916;0,000308
-0,645;0,991;0,00657
-4,675;0,969;3,69e-6
-9,67;0,809;0,00304
-10,292;0,673;0,0729
-7,373;0,901;0,0362
-8,425;0,477;0,268
-5,98;0,567;0,0861
-4,462;0,669;0,00697
-14,451;0,446;0,589
-8,876;0,47;0,174
-4,33;0,841;0,00582
-8,779;0,405;0,319
-7,805;0,691;0,0142
-9,919;0,936;0,00244
-9,764;0,6;0,297
-3,478;0,971;0,0518
-8,197;0,658;0,0078
-3,983;0,893;0,00331
-7,714;0,848;0,00421
-5,798;0,376;0,35
-5,35;0,876;0,0235
-9,499;0,425;0,391
-6,792;0,583;0,188
-3,797;0,971;5,25e-5
-4,971;0,78;0,0162
-8,559;0,314;0,772
-4,83;0,873;0,00153
-6,347;0,846;0,000819
-6,847;0,921;0,087
-8,533;0,71;0,275
-7,56;0,569;0,000302
-7,105;0,682;0,323
-5,859;0,657;0,0314
-8,892;0,518;0,406
-8,662;0,902;0,000989
-14,991;0,161;0,861
-6,102;0,82;0,00054
-9,97;0,704;0,164
-8,414;0,552;0,00888
-5,59;0,949;0,00141
-8,155;0,618;0,486
-7,76;0,716;0,2
-11,679;0,924;0,00185
-7,144;0,623;0,668
-14,035;0,457;0,713
-8,536;0,875;0,000722
-8,561;0,607;0,0288
-4,394;0,886;0,0322
-2,722;0,961;3,09e-5
-5,458;0,957;0,000104
-8,395;0,28;0,672
-7,115;0,89;7,36e-6
-11,999;0,441;0,546
-5,431;0,654;0,0748
-5,545;0,747;0,0272
-11,174;0,347;0,167
-5,855;0,971;0,0148
-6,5;0,648;0,276
-7,933;0,532;0,134
-10,061;0,464;0,558
-7,267;0,653;0,733
-4,528;0,834;0,0544
-10,944;0,437;0,654
-3,555;0,937;0,0198
-5,13;0,826;0,00386
-9,647;0,475;0,00632
-4,97;0,854;0,00107
-4,857;0,8;0,0221
-5,336;0,931;0,0025
-8,606;0,662;0,547
-4,494;0,708;0,0058
